id,title,ingredients,directions,link,source,NER
808116,Tuna Salad,"[""1 can tuna"", ""1 small onion"", ""6 Tbsp. sweet pickles"", ""2 boiled eggs"", ""1 pkg. macaroni, cooked"", ""4 to 6 Tbsp. mayonnaise"", ""salt and pepper to taste""]","[""Blend well; serve with crackers.""]",www.cookbooks.com/Recipe-Details.aspx?id=875910,Gathered,"[""tuna"", ""onion"", ""sweet pickles"", ""eggs"", ""macaroni"", ""mayonnaise"", ""salt""]"
544537,Ritz Cracker Treats,"[""1 (8 oz.) box chopped dates"", ""1 c. chopped pecans"", ""1 can Eagle Brand condensed milk"", ""1 box Ritz crackers""]","[""Cook the first 3 ingredients until thick."", ""Cool slightly. Spread on Ritz crackers.""]",www.cookbooks.com/Recipe-Details.aspx?id=1071398,Gathered,"[""dates"", ""pecans"", ""milk"", ""crackers""]"
506970,Lentil Soup,"[""1 c. lentils"", ""1 Tbsp. margarine"", ""1 clove garlic, minced"", ""2 stalks celery, sliced"", ""1/2 c. chopped onion"", ""1 c. grated carrot"", ""1 1/2 to 2 c. coarsely chopped potatoes"", ""1 c. tomato juice"", ""1/3 c. brown rice"", ""1 1/2 c. frozen corn (optional)""]","[""Saute garlic, celery and onion in the margarine."", ""Add carrots, juice, potatoes and rice."", ""Rinse lentils and mix all together. Bring to a boil."", ""Stir, cover and simmer until tender."", ""If desired, stir in corn for last 20 minutes.""]",www.cookbooks.com/Recipe-Details.aspx?id=752204,Gathered,"[""lentils"", ""margarine"", ""clove garlic"", ""stalks celery"", ""onion"", ""carrot"", ""potatoes"", ""tomato juice"", ""brown rice"", ""frozen corn""]"
427522,Shrimp Dip,"[""1 pkg. cream cheese"", ""1/4 c. finely chopped onion"", ""1 (4 1/4 oz.) can shrimp"", ""1 tsp. Worcestershire sauce"", ""1 Tbsp. cocktail sauce""]","[""Allow cream cheese to soften."", ""Add all ingredients and mix well."", ""Shape and chill."", ""Serve with crackers.""]",www.cookbooks.com/Recipe-Details.aspx?id=615362,Gathered,"[""cream cheese"", ""onion"", ""shrimp"", ""Worcestershire sauce"", ""cocktail sauce""]"
1366188,Green Smoothie Bowls (An Easy How-To Guide),"[""4-5 stalks kale (or 2 cups spinach or romaine lettuce)"", ""1/2 avocado (or 1 scoop natural protein powder)"", ""1/2 banana, frozen"", ""1/3 cup water"", ""1 scoop natural almond butter, acai powder, or maca powder"", ""ice""]","[""Blend all ingredients together, adding water slowly as you need it. Go slow! Too much water = sippable smoothies, not something you can eat with a spoon."", ""To top:\r\n\r\nThe following are all superfoods, prized for their high nutritional profiles of minerals, vitamins, anti-oxidants, healthy fats and superpowers. If you don't have access to any of these, chopped nuts, raisins and seeds of your choice can work great too. \r\n\r\ngoji berries/mulberries/strawberries/blueberries/bananas (for sweetness and chewiness)\r\n\r\nraw cocoa nibs (for tiny crunch)\r\n\r\nhemp seeds (for extra staying power and great protein/healthy fats)\r\n\r\npumpkin seeds (for bigger crunch)\r\n\r\nchia seeds (for extra staying power and great protein/healthy fats)\r\n\r\nbrazil nuts/walnuts (for bigger crunch)\r\n\r\nbanana chips or coconut flakes (for bigger crunch, and for sweetness and chewiness)\r\n\r\nPlay and sprinkle. Stir and enjoy.""]",food52.com/recipes/41334-green-smoothie-bowls-an-easy-how-to-guide,Gathered,"[""stalks kale"", ""avocado"", ""banana"", ""water"", ""butter""]"
1263922,Soy Glazed Roasted Chicken With Bok Choy,"[""3 cloves garlic, crushed"", ""1 1/2 inch piece ginger, grated"", ""1/3 cup hoisin sauce"", ""1/4 cup light soy sauce"", ""2 tbsp lime juice"", ""1/4 cup Chinese cooking wine"", ""1 None small red chili, finely chopped"", ""12 None chicken drumsticks (about 4 lbs)"", ""1 tbsp peanut oil"", ""10.5 oz baby bok choy, quartered lengthways"", ""2/3 cup cilantro, coarsely chopped"", ""1 None lime, cut into wedges"", ""None None Steamed jasmine rice, to serve (optional)""]","[""Preheat oven to 475\u00b0F. Combine garlic, ginger, sauces, lime juice, wine and chili in large bowl. Add the chicken and toss to coat. Drain chicken, reserving marinade. Heat oil in large Dutch oven and cook chicken, in batches if necessary, about 5 mins or until browned all over."", ""Add all chicken back to pan and roast, uncovered, 15 minutes. Reduce oven temperature to 425\u00b0F and continue to roast, basting frequently with marinade, about 15 mins or until chicken is cooked through."", ""Meanwhile, boil or steam bok choy until just tender; drain."", ""Divide chicken and bok choy among serving plates and sprinkle with cilantro. Serve with lime wedges and, if desired, steamed jasmine rice.""]",recipes-plus.com/api/v2.0/recipes/28078,Gathered,"[""garlic"", ""ginger"", ""hoisin sauce"", ""light soy sauce"", ""lime juice"", ""Chinese cooking wine"", ""red chili"", ""chicken"", ""peanut oil"", ""choy"", ""cilantro"", ""lime"", ""Steamed jasmine rice""]"
1993402,Spicy Peanut Pork,"[""4 boneless pork chops, well trimmed"", ""salt and pepper"", ""4 -6 green onions, cut in 1 inch diagonal slices"", ""8 ounces snow peas, strings removed"", ""1 tablespoon fresh ginger, minced"", ""3 garlic cloves, crushed and minced"", ""14 cup creamy peanut butter"", ""1 tablespoon sugar"", ""1 tablespoon soy sauce (I use Tamari)"", ""18 teaspoon cayenne pepper""]","[""Cook seasoned pork approx 4 minutes on each side in lightly greased saute pan."", ""Transfer pork to platter, keep warm."", ""In same skillet add green onions and snow peas, saute for 2 to 3 minutes."", ""Stir in garlic and ginger, cook 1 minute."", ""Return pork to pan."", ""Meanwhile mix remainder of ingredients in bowl with 3/4 cup water (or stock)."", ""Pour mixture in skillet, heat until boil."", ""Serve with steamed rice.""]",www.food.com/recipe/spicy-peanut-pork-117833,Recipes1M,"[""pork chops"", ""salt"", ""green onions"", ""snow peas"", ""fresh ginger"", ""garlic"", ""peanut butter"", ""sugar"", ""soy sauce"", ""cayenne pepper""]"
863269,Gin-Marinated Olives,"[""1 c. quality gin"", ""5 juniper berries"", ""6 black peppercorns, crushed"", ""1/4 tsp. crushed red pepper flakes"", ""1 c. imported green olives (cracked)""]","[""Place ingredients in a glass bowl. Cover with cheesecloth. Set aside in cool place for 2 days."", ""Drain off gin (save) and discard juniper berries and peppercorns."", ""Makes 1 cup (about 28 medium) marinated olives.""]",www.cookbooks.com/Recipe-Details.aspx?id=1084776,Gathered,"[""gin"", ""berries"", ""black"", ""red pepper"", ""green olives""]"
1058172,Dutch Strickle Sheets,"[""4 cups milk, lukewarm"", ""4 eggs, well beaten"", ""4 tablespoons butter, melted"", ""1 teaspoon salt"", ""1 fresh yeast cake, softened in"", ""1/2 cup water, lukewarm"", ""2 cups sugar"", ""10 cups flour (amount is approximate)"", ""Topping"", ""2 cups sugar"", ""4 tablespoons flour"", ""1/2 cup butter"", ""1/4 cup water, boiling""]","[""Combine eggs, milk and butter."", ""Add softened yeast, salt, sugar and enough flour to make a thin batter."", ""Beat all together (about five minutes); cover and set bowl in a warm place overnight."", ""Add enough flour to make a soft dough; knead lightly and set to rise again."", ""Roll dough 1 inch thick and fit into greased."", ""baking pans."", ""Let rise again."", ""Prepare topping by mixing sugar with flour; add butter and cream well; add boiling water and beat."", ""Spread over dough just before baking."", ""Bake at 400F for about 20 minutes.""]",www.food.com/recipe/dutch-strickle-sheets-259863,Gathered,"[""milk"", ""eggs"", ""butter"", ""salt"", ""yeast cake"", ""water"", ""sugar"", ""flour"", ""Topping"", ""sugar"", ""flour"", ""butter"", ""water""]"
1135512,Swanky Franky,"[""8 beef hot dogs"", ""8 slices bacon"", ""8 slices American cheese"", ""8 hot dog buns"", ""hot oil (, for frying)"", ""condiments (of your choice)""]","[""Cut a slit lengthwise in each hot dog."", ""Cut each slice of cheese in half."", ""Insert 1/2 slice cheese in each hot dog."", ""Wrap a slice of bacon around each and secure with toothpick."", ""Put about 3 inches oil in heavy saucepan and heat to medium hot."", ""Fry dogs about 3-4 minutes, until bacon is crisp."", ""Drain on paper towel.""]",www.food.com/recipe/swanky-franky-16776,Gathered,"[""beef"", ""bacon"", ""American cheese"", ""buns"", ""hot oil"", ""condiments""]"
1449349,Sonoran Spiced Pork Chops,"[""2 tablespoons ground cumin"", ""1 tablespoon ground coriander"", ""1 tablespoon paprika"", ""1 tablespoon dried thyme"", ""3/4 teaspoon salt"", ""1/2 teaspoon black pepper"", ""1/4 teaspoon ground red pepper"", ""4 (4-ounce) boneless center-cut loin pork chops (about 3/4 inch thick)"", ""Cooking spray"", ""4 lemon wedges""]","[""Prepare broiler."", ""Combine first 7 ingredients in a small bowl; rub spice mixture onto both sides of pork chops."", ""Place chops on rack of a broiler pan coated with cooking spray; broil 6 to 8 minutes on each side or until desired degree of doneness. Serve with lemon wedges.""]",www.myrecipes.com/recipe/sonoran-spiced-pork-chops,Gathered,"[""ground cumin"", ""ground coriander"", ""paprika"", ""thyme"", ""salt"", ""black pepper"", ""ground red pepper"", ""center"", ""Cooking spray"", ""lemon wedges""]"
112784,Cake Without Frosting,"[""1 yellow cake mix"", ""1 bag chocolate chips""]","[""Mix cake according to directions."", ""After mixing cake, add chocolate chips and fold in."", ""Pour in cake pan."", ""Bake according to directions on box."", ""Cool about 10 minutes."", ""Invert cake onto plate.""]",www.cookbooks.com/Recipe-Details.aspx?id=252026,Gathered,"[""yellow cake"", ""chocolate chips""]"
1239051,Peach Streusel Coffee Cake,"[""Coffee Cake"", ""1 (1/4 ounce) package active dry yeast"", ""3/4 cup warm water"", ""3 tablespoons sugar"", ""1 teaspoon salt"", ""1 large egg"", ""1/4 cup margarine, softened"", ""2 cups all-purpose flour"", ""1 (16 ounce) can peach slices, drained (reserving 1 tablespoon plus 1 teaspoon syrup)"", ""Streusel"", ""1/4 cup all-purpose flour"", ""1/4 cup brown sugar"", ""1/4 cup margarine, cold"", ""1 teaspoon cinnamon"", ""1/4 cup pecans, chopped (optional)"", ""1/2 cup powdered sugar (for glaze)""]","[""Make streusel; in a small bowl mix flour, brown sugar and cinnamon, cut in margarine until it resembles crumbs, add pecans if desired. Cover and chill while making the cake."", ""Dissolve yeast in warm water in large mixer bowl. Add sugar, salt, egg, margarine and 1 1/4 cup of the flour. Beat on medium speed, scraping bowl frequently, for 2 minutes. Stir in remaining flour."", ""Drop half of the batter by tablespoonfuls into a greased 8x8x2 or 9x9x2 inches square pan, spreading batter to edges; arrange drained peaches over batter, sprinke half of the streusel over the peaches/batter. Drop the remaining batter by tablespoonfuls into pan evenly, sprinkle with remaining streusel. Cover, let rise in a warm place until double, about an hour."", ""Heat oven to 350\u00b0, uncover and bake until golden brown, 30 - 35 minutes, cool in pan on wire rack or loosen coffee cake, remove from pan to wire rack and let cool."", ""Mix the reserved 1 tablespoon and 1 teaspoon syrup from the peaches with 1/2 cup powdered sugar into a glaze, drizzle over coffee cake while still warm.""]",www.food.com/recipe/peach-streusel-coffee-cake-308859,Gathered,"[""Coffee"", ""active dry yeast"", ""warm water"", ""sugar"", ""salt"", ""egg"", ""margarine"", ""flour"", ""peach slices"", ""Streusel"", ""flour"", ""brown sugar"", ""margarine"", ""cinnamon"", ""pecans"", ""powdered sugar""]"
