ingredient,substitutes
a1 sauce,"barbecue sauce, ketchup"
adobo sauce,tabasco sauce
alphonso olives,"kalamata olives, gaeta olives"
aluminum foil,"plastic wrap, wax paper"
amphissa olives,"kalamata olives, gaeta olives"
anchovy paste,"anchovies, shrimp paste, fish sauce"
apple blossoms,"peach blossoms, plum blossoms"
apple butter,applesauce
apple jelly,"black currant jelly, grape jelly, apple juice"
applesauce,"apple butter, pumpkin puree, plum puree"
apricot jam,"peach jam, plum puree"
arauco olives,manzanilla olives
arbequina olives,manzanilla olives
asian barbecue sauce,"korean barbecue sauce, hot chili sauce, chili garlic sauce"
atlanta olives,royal olives
bamboo leaves,lotus leaves
banana catsup,ketchup
banana leaves,"aluminum foil, parchment paper, corn husks, hoja santa leaves, ti leaves"
bean sauce,"black bean sauce, chili sauce, awase miso, brown rice miso"
berbere sauce,"hot chili sauce, chili garlic sauce"
black bean sauce,"bean sauce, chili bean paste"
black currant jelly,"muscadine jelly, grape jelly"
black olives,green olives
blueberry jam,"raspberry preserves, gooseberry preserves"
borage,"spinach, escarole, nasturtium, violet, rose petals"
bread and butter pickles,sweet gherkin
candied angelica,marzipan
candied chestnuts,chestnut cream
candied fruit,dried apricot
candied ginger,ginger jam
caper berry,"capers, green olives"
capers,"pickled nasturtium buds, green olives, green pepper, dill pickles, seabean"
carnation,"dianthus, impatiens, nasturtium"
castelvetrano olives,green olives
cerignola olives,"lucque olives, picholine olives"
chamomile,lemon balm
chee hou sauce,hoisin sauce
pickled cherry pepper,pepperoncini
chile paste,"harissa, red pepper flakes, dried chiles"
chile verde sauce,"salsa verde, enchilada sauce, taco sauce"
chili garlic sauce,"chile paste, hot chili sauce, hot pepper sauce, red pepper sauce"
chinese mustard,creole mustard
chutney,orange marmalade
clary,"nasturtium, borage, violet"
cloudberry preserves,"loganberry jam, gooseberry preserves"
cocktail onion,"pickled onions, caper berry"
corn husks,"banana leaves, aluminum foil, hoja santa leaves"
corn tortilla,"flour tortilla, corn chips"
cornichon,"gherkin, dill pickles"
crystallized ginger,"candied ginger, nuts"
dark soy sauce,"thai sweet soy sauce, mushroom soy sauce"
dianthus,carnation
dijon mustard,"honey mustard, whole-grain mustard, wasabi cream sauce, prepared mustard"
dill pickles,cornichon
dumpling wrappers,"wonton wrappers, egg roll wrappers, pasta sheet"
dwen jang,red miso
egg roll wrappers,"pasta sheet, rice paper, phyllo"
empanada wrappers,"wonton wrappers, pasta sheet"
enchilada sauce,"red chile sauce, taco sauce, salsa verde"
english primroses,"pansy, impatiens"
fig leaf,"lotus leaves, grape leaves, corn husks"
fig preserves,kumquats in syrup
fish sauce,"nuoc charm, soy sauce, anchovy paste"
flour tortilla,"corn tortilla, chapati"
gaeta olives,kalamata olives
gherkin,cornichon
giardiniera,"pickled cauliflower, sweet cherry pepper"
ginger jam,candied ginger
glace cherries,"dried cherry, dried cranberries"
gooseberry preserves,"cloudberry preserves, loganberry jam, strawberry preserves"
grape jelly,"muscadine jelly, red currant jelly"
grape leaves,"green cabbage, bell pepper, lettuce, mustard greens, swiss chard"
greek green olives,nafplion green olives
green olives,"black olives, caper berry, cocktail onion"
guacamole,"avocado, salsa"
gyoza wrappers,"potsticker wrappers, wonton wrappers, egg roll wrappers, pasta sheet"
harissa,"chile paste, hot pepper sauce"
hoisin sauce,"chee hou sauce, apple butter, sweet bean sauce"
hallandaise sauce,bernaise sauce
honey mustard,"dijon mustard, prepared mustard"
prepared horseradish,"wasabi, wasabi cream sauce, wasabi root"
hot chili sauce,"chili garlic sauce, berbere sauce"
hot mustard,"creole mustard, chinese mustard"
hot pepper sauce,"sriracha, red pepper flakes, dried cayenne pepper"
hummus,"nut butter, peanut butter"
impatiens,candied flowers
japanese soy sauce,soy sauce
johnny jump-up,"pansy, violet"
kacang saus,kecap manis
kalamata olives,"gaeta olives, amphissa olives"
kecap manis,maggi's seasoning sauce
ketchup,banana catsup
kim chee,sauerkraut
korean barbecue sauce,"asian barbecue sauce, chili garlic sauce"
kreplach wrappers,"wonton wrappers, pasta sheet"
kumquats in syrup,fig preserves
